Item	Price	Weight	Category	Date	Origin
Poree	0.49	0.270	OG	15/01/2018	Deutschland
SC Koriander	0.99	0.020	K	15/01/2018	Italien
Sauce Chilli	0.69	NA	SE	15/01/2018	
Zucchini	0.42	0.236	OG	15/01/2018	
Paprika	0.52	0.228	OG	15/01/2018	
Hähnchen	2.79	NA	F	15/01/2018	
Nudeln	0.69	NA	FP	15/01/2018	
Hirtenkase	0.79	NA	D	16/01/2017	
Cherrytomaten	0.88		OG	16/01/2017	
Rucola	1.19	0.250	OG	16/01/2017	Italien
Salat	0.99		OG	16/01/2017	
Oliven	0.69		OG	16/01/2017	Italien
Honigmelon	1.59	1.290	OG	16/01/2017	China
Lachs	4.29		F	17/01/2017	
Creme	0.79	NA	D	17/01/2017	
Blumenkohl	1.29	1.875	OG	17/01/2017	Italien
Creme Cheese	0.99		D	17/01/2017	
Skyr	0.55	NA	D	17/01/2017	
SC Dill	0.99	0.025	K	17/01/2017	Spanien
Germknödel	1.99	NA	F	17/01/2017	NA
Pinienkerne	1.79	NA	SE	17/01/2017	NA
Wein	1.49	NA	GT	17/01/2017	NA
Zwibeln	0.99	1.000	OG	17/01/2017	Deutschland
Brot	0.55	NA	G	17/01/2017	NA
Champignons	1.09	0.250	OG	17/01/2017	Deutschland
Salami	1.79	NA	F	17/01/2017	NA
Hänchen	3.76		F	06/03/2018	
Lachs	4.29	0.400	F	06/03/2018	
Rinderhack	2.18		F	06/03/2018	
Hackfleisch	1.74		F	06/03/2018	
Blattspinat	1.89		OG 	06/03/2018	
Tortilla Wraps	1.59		FP	06/03/2018	
Tortellini	1.19		FP	06/03/2018	
Tomaten	1.19		OG	06/03/2018	
Hirtenkäse 	1.09		D	06/03/2018	
FT Bananen	1.02	0.606	OG	06/03/2018	
Champignons	0.95		OG	06/03/2018	
B Toastbrötchen	0.99		G	06/03/2018	
Salat	0.89		OG	06/03/2018	
Rucola	0.99	0.125	OG	06/03/2018	
Tomaten	0.53	0.232	OG	06/03/2018	
Tomaten Dose	0.39		FP	06/03/2018	
Tomaten Passierte	0.35		FP	06/03/2018	
Bohnen (Kidney)	0.39		FP	06/03/2018	
Paprika	1.09	0.478	OG	06/03/2018	
Zweibeln	1.49	1.000	OG	08/03/2018	
Essig	0.99		FP	08/03/2018	
Eier (Bio) 	2.79		D	08/03/2018	
Käse	2.29		D	08/03/2018	
Bananen	0.70	0.604	OG	08/03/2018	
Tee	1.09		GT	08/03/2018	
Peperoni	0.99		OG	08/03/2018	
Tee	0.89		OG	08/03/2018	
Wein	2.99		GT	08/03/2018	
Toast	0.55		G	08/03/2018	
Schockolade	1.09		FP	08/03/2018	
Zucchini 	0.58	0.528	OG	08/03/2018	
Avocado	1.29		OG	08/03/2018	
Rindersteaks	3.00		F	15/03/2018	
Apfel	3.14	2.000	OG	15/03/2018	
Zwiebeln	1.34		OG	15/03/2018	
Avocado 	1.25		OG	15/03/2018	
Zitrone (Bio) 	0.62		OG	15/03/2018	
Gurken	0.49		OG	15/03/2018	
Fenchel	1.34	0.764	OG	15/03/2018	
Tomaten	0.76	0.365	OG	15/03/2018	
Bananen	0.63	0.640	OG	15/03/2018	
Milch	0.68		D	15/03/2018	
Schockolade 	1.09		FP	15/03/2018	
Tee	0.89		GT	15/03/2018	
Hirtenkäse	1.09		D	15/03/2018	
Sahne	0.79		D	15/03/2018	
Ziegenkäse	1.79		D	15/03/2018	
Eier (Bio) 	2.79		D	15/03/2018	
Butter	1.59		D	15/03/2018	
Schinken	1.69		F	15/03/2018	
Steak	6.69		F	15/03/2018	
